SYMBOL,COMPANY,PURPOSE,EX_DATE,RECORD_DATE,FACE_VALUE
WSTCSTPAPR,West Coast Paper Mills Limited,Dividend - Rs 3 Per Share,10-Aug-2026,10-Aug-2026,2
RITES,RITES Limited,Interim Dividend - Rs 1.40 Per Share,10-Aug-2026,10-Aug-2026,10
INDUSTOWER,Indus Towers Limited,Dividend - Rs 14 Per Share,10-Aug-2026,10-Aug-2026,10
AVTNPL,AVT Natural Products Limited,Dividend - Re 0.45 Per Share,10-Aug-2026,10-Aug-2026,1
STYRENIX,Styrenix Performance Materials Limited,Interim Dividend - Rs 23 Per Share,10-Aug-2026,10-Aug-2026,10
MAJESAUT,Majestic Auto Limited,Dividend - Rs 25 Per Share,10-Aug-2026,10-Aug-2026,10
JIOFIN,Jio Financial Services Limited,Dividend - Rs 0.60 Per Share,10-Aug-2026,10-Aug-2026,10
CMPDI,Central Mine Planning & Design Institute Limited,Dividend - Rs 1.06 Per Share,10-Aug-2026,10-Aug-2026,2
INDUSINVIT,Indus Infra Trust,Distribution - Rs 3.55 Per Unit Consists Of Interest Rs 2.38 Per Unit & Return Of Capital Rs 1.17 Per Unit,10-Aug-2026,10-Aug-2026,100
PTC,PTC India Limited,Interim Dividend - Rs 23 Per Share,10-Aug-2026,10-Aug-2026,10
RATNAMANI,Ratnamani Metals & Tubes Limited,Dividend - Rs 10 Per Share,11-Aug-2026,11-Aug-2026,2
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,Interim Dividend - Rs 3 Per Share,11-Aug-2026,11-Aug-2026,10
SYMPHONY,Symphony Limited,Interim Dividend - Re 1  Per Share,11-Aug-2026,11-Aug-2026,2
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Dividend - Rs 6 Per Share,11-Aug-2026,11-Aug-2026,10
CASTROLIND,Castrol India Limited,Interim Dividend - Rs 6.25 Per Share,11-Aug-2026,11-Aug-2026,5
GODFRYPHLP,Godfrey Phillips India Limited,Dividend - Rs 33 Per Sh,11-Aug-2026,11-Aug-2026,2
GLAND,Gland Pharma Limited,Dividend - Rs 20 Per Sh,11-Aug-2026,11-Aug-2026,1
GATEWAY,Gateway Distriparks Limited,Interim Dividend - Rs 1.25 Per Share,11-Aug-2026,11-Aug-2026,10
KOPRAN,Kopran Limited,Dividend - Rs 3 Per Share,11-Aug-2026,11-Aug-2026,10
KIRLOSIND,Kirloskar Industries Limited,Dividend - Rs 13 Per Share,11-Aug-2026,11-Aug-2026,10
DVL,Dhunseri Ventures Limited,Dividend - Rs 1.50 Per Share,11-Aug-2026,11-Aug-2026,10
SUDARSCHEM,Sudarshan Chemical Industries Limited,Dividend - Rs 5 Per Share,11-Aug-2026,11-Aug-2026,2
SIL,Standard Industries Limited,Dividend - Re 0.25 Per Share,11-Aug-2026,11-Aug-2026,5
INDPRUD,Industrial & Prudential Investment Company Limited,Dividend - Rs 120 Per Share,12-Aug-2026,12-Aug-2026,10
VAIBHAVGBL,Vaibhav Global Limited,Interim Dividend - Rs 1.50 Per Share,12-Aug-2026,12-Aug-2026,2
UNIPARTS,Uniparts India Limited,Interim Dividend - Rs 9 Per Share,12-Aug-2026,12-Aug-2026,10
SANDUMA,Sandur Manganese & Iron Ores Limited,Dividend - Rs 0.50 Per Share,12-Aug-2026,12-Aug-2026,10
NEAGI,Neelamalai Agro Industries Limited,Dividend - Rs 20 Per Share,12-Aug-2026,12-Aug-2026,10
HGINFRA,H.G. Infra Engineering Limited,Dividend - Rs 2 Per Share,12-Aug-2026,12-Aug-2026,10
NHIT,National Highways Infra Trust,Distribution - Rs 3.187 Per Unit Consisting Of Rs 3.179 Per Unit As Interest & Re 0.008 Per Unit As Other Income,12-Aug-2026,12-Aug-2026,101
NHPC,NHPC Limited,Dividend - Re 0.21 Per Sh,12-Aug-2026,12-Aug-2026,10
GABRIEL,Gabriel India Limited,Dividend - Rs 3.10 Per Share,12-Aug-2026,12-Aug-2026,1
KPITTECH,KPIT Technologies Limited,Dividend - Rs 5.25 Per Share,12-Aug-2026,12-Aug-2026,10
CAMS,Computer Age Management Services Limited,Interim Dividend - Rs 2.50 Per Share,12-Aug-2026,12-Aug-2026,2
KCP,KCP Limited,Interim Dividend - Re 0.50 Per Share,12-Aug-2026,12-Aug-2026,1
